Filename,Avg Length Sacromere (um),Full Coverage (parameter value),Lines from Center (parameter value)
FFT of MH25_TopRight.png,1.9001647149618393,False,360
FFT of MH25_BottomRight.png,1.764577844237185,False,360
FFT of MH25_BottomMiddle.png,1.6586853955287233,False,360
FFT of MH25_MiddleMiddle.png,1.6391693520364103,False,360
FFT of MH25_MiddleRight.png,1.7273430056276042,False,360
FFT of MH25_TopLeft.png,1.6353672249157796,False,360
FFT of MH25_TopMiddle.png,1.6360375357677168,False,360
FFT of MH25_MiddleLeft.png,1.6480870987260232,False,360
FFT of MH25_BottomLeft.png,1.7837946459804583,False,360
